,Name,Points,Assists,OffensiveRebounds,Position,Season
13391,Juwan Howard,0.42857142857142855,0.2857142857142857,0.5,PF,2002.0
13394,Juwan Howard,0.5714285714285714,0.2857142857142857,0.5,PF,2003.0
13395,Juwan Howard,0.5238095238095238,0.14285714285714285,0.5,PF,2004.0
13397,Juwan Howard,0.2857142857142857,0.14285714285714285,0.5,PF,2006.0
13398,Juwan Howard,0.19047619047619047,0.14285714285714285,0.25,PF,2007.0
13471,Karl Malone*,0.9523809523809523,0.42857142857142855,0.5,PF,2000.0
13472,Karl Malone*,0.8095238095238095,0.5714285714285714,0.25,PF,2001.0
13473,Karl Malone*,0.7619047619047619,0.5714285714285714,0.25,PF,2002.0
13474,Karl Malone*,0.7142857142857143,0.5714285714285714,0.25,PF,2003.0
13567,Keith Van,0.6190476190476191,0.14285714285714285,0.5,PF,2000.0
13570,Keith Van,0.42857142857142855,0.14285714285714285,0.25,PF,2003.0
13716,Kenneth Faried,0.2857142857142857,0.0,0.75,PF,2013.0
13717,Kenneth Faried,0.38095238095238093,0.14285714285714285,0.5,PF,2014.0
13718,Kenneth Faried,0.2857142857142857,0.14285714285714285,0.5,PF,2015.0
13842,Kenny Thomas,0.3333333333333333,0.14285714285714285,0.25,PF,2002.0
13846,Kenny Thomas,0.3333333333333333,0.14285714285714285,0.75,PF,2004.0
13847,Kenny Thomas,0.2857142857142857,0.14285714285714285,0.5,PF,2005.0
13850,Kenny Thomas,0.19047619047619047,0.2857142857142857,0.5,PF,2006.0
13891,Kenyon Martin,0.19047619047619047,0.14285714285714285,0.25,PF,2001.0
13892,Kenyon Martin,0.38095238095238093,0.2857142857142857,0.25,PF,2002.0
13893,Kenyon Martin,0.47619047619047616,0.2857142857142857,0.5,PF,2003.0
13894,Kenyon Martin,0.38095238095238093,0.14285714285714285,0.25,PF,2004.0
13895,Kenyon Martin,0.38095238095238093,0.2857142857142857,0.25,PF,2005.0
13898,Kenyon Martin,0.23809523809523808,0.14285714285714285,0.25,PF,2008.0
13899,Kenyon Martin,0.19047619047619047,0.14285714285714285,0.0,PF,2009.0
13990,Kevin Garnett,0.8095238095238095,0.5714285714285714,0.5,PF,2000.0
13991,Kevin Garnett,0.7619047619047619,0.5714285714285714,0.5,PF,2001.0
13992,Kevin Garnett,0.7142857142857143,0.7142857142857143,0.5,PF,2002.0
13993,Kevin Garnett,0.8095238095238095,0.8571428571428571,0.5,PF,2003.0
13994,Kevin Garnett,0.9047619047619048,0.5714285714285714,0.5,PF,2004.0
13995,Kevin Garnett,0.8095238095238095,0.7142857142857143,0.75,PF,2005.0
